Cooling load (Kwh),Heating load (Kwh)
0,289.8560682
106.1409424,342.8772204
10.67928518,379.1189331
121.018418,425.8660768
0,472.8590201
96.81859329,514.4027502
13.67986361,543.1596753
0,570.1053564
167.0901695,560.9725661
160.5586836,457.5243639
170.1374296,462.5209708
216.437746,463.5270643
302.760145,437.6057098
352.3866163,431.8135342
206.6064751,453.301869
265.3430743,436.7645868
248.2589974,415.4387883
229.1098817,429.4491854
206.3004033,380.779884
202.3666078,371.9897414
180.3944706,357.978418
189.6166342,361.1434578
46.25045214,377.8095196
81.73088517,326.1810406
36.14697466,345.5209119
84.19921484,366.613683
21.9681319,374.4700885
85.91406965,368.1724907
0,399.0397007
83.10930256,373.5172076
0,413.2517722
127.4671396,462.0772439
82.87968296,536.1368217
193.756674,521.277393
249.4496826,514.5897808
286.5793867,441.3166877
201.784548,399.1155026
240.8745824,353.5513763
230.9317979,325.8022301
273.9010412,299.5562085
251.1141171,292.3589254
202.4092487,327.9434435
192.0269783,262.6894168
138.0398542,248.1998842
123.2612982,261.7088361
142.7352775,271.195628
55.25649276,281.5201109
95.22212733,306.2446968
71.89427706,343.2079934
74.55037954,369.497461
88.60604882,369.8573739
17.21434383,368.416026
25.91086445,399.8105971
0,375.5189893
36.5741061,404.8622885
109.7642398,439.835723
141.3603008,496.8826221
92.53049351,478.127787
133.5998635,493.2566683
248.2781926,489.9042401
243.5274195,421.4877414
227.4930405,394.6556742
215.9795157,385.2705737
186.5609529,338.2410475
200.6532033,357.2587361
205.2205426,348.7512699
210.290416,292.7454888
168.8003087,256.596424
89.46371088,267.7499086
159.2409782,280.7573112
113.1141213,303.8367013
77.06532268,328.1317862
55.75921149,331.9222618
161.8659931,345.2918265
70.97847567,357.2877577
157.9532454,386.4903037
32.49740255,435.7116005
106.8436025,444.1480735
26.44782013,510.2520974
175.8216938,499.0489638
168.6653882,464.5613625
276.7343352,426.2822288
184.9419954,412.60238
198.8373091,290.1808212
166.9164822,293.2538595
251.0335735,234.5371817
229.5744713,172.6398272
204.2359831,250.7981778
253.7241604,244.6720623
203.6692497,249.5277252
173.4636334,226.9255185
78.08137648,263.2517203
83.35627899,234.7480463
140.9399282,246.9621332
76.8640361,217.3522319
170.8940223,174.2042125
22.70457857,182.6080598
87.4672952,218.4654511
68.48337633,254.9213978
0,331.4803706
0,353.8238908
0,378.4311513
0,370.0758739
58.44692647,383.5112538
0,388.2924287
21.36624389,349.2603617
61.45565617,346.9180088
155.1995972,332.9324934
157.4290941,290.7365561
40.66096578,279.9770521
82.32045037,277.1901535
97.52265752,254.3450364
102.1466129,265.1550198
146.3681832,308.5253644
126.4398916,304.1696208
30.93422244,337.5553096
58.8042391,332.8442864
0,355.0280234
38.04877374,378.9665401
0,322.0104082
136.1255206,290.8535857
173.2412011,305.499275
97.75621374,268.506597
78.80336384,317.4091182
130.0167651,491.2380816
46.67615952,484.6407631
159.4251921,506.8258562
143.228179,454.0699226
177.6277297,455.9919415
267.6390499,471.690323
296.0159737,400.361214
293.8464741,341.5702394
323.5045572,296.8407778
438.8857148,268.9576533
408.8385421,244.5460369
389.2508616,251.4498167
386.9961425,252.2483687
367.1804777,291.795827
347.5762576,276.0844766
299.4612688,290.3508743
273.7955662,283.7778612
244.0668555,282.3615284
211.9347302,315.6435278
152.783969,202.221277
55.75980961,242.2490331
220.3286497,337.9422317
203.5126845,261.0323391
158.5243841,325.085387
177.9556329,376.5955759
200.8372718,402.4546821
213.7780462,431.037495
220.4866357,429.3620924
273.5796126,441.9811194
343.325626,392.5627511
329.939776,372.4546246
293.770791,312.438761
306.2153385,285.1372747
284.4060283,273.6172157
350.2085017,237.9214912
342.0620382,241.4557461
344.2377747,243.7295408
363.6984969,300.1096828
320.4642838,292.8183322
295.9024417,286.5297792
217.1738643,279.9299378
169.5067527,288.336445
136.8510502,292.2386759
130.0669324,248.777977
53.27309096,255.9865291
199.7298927,270.616651
219.4073642,272.2777044
207.5685319,365.8154653
182.2275358,426.8379463
172.5526238,400.2442842
191.4279884,435.2552388
198.8968104,403.4954134
220.3526901,443.884411
271.4142166,362.8768185
290.6797058,389.9645698
342.304745,343.7964021
300.9478281,300.3229555
286.0998646,273.8016306
357.2215826,253.2249173
313.7303218,245.0603268
325.4882357,270.666219
337.7591521,293.8746346
304.7480199,272.2028379
258.0331992,277.7715356
189.0423075,275.6810394
195.3462788,299.0285122
149.1375333,296.7853116
66.31818946,249.0727772
144.3272296,268.6924433
222.5516551,318.9668094
241.5128611,296.8590846
216.5500945,312.7863413
192.8884987,313.8977737
179.1612106,338.0762402
220.534986,345.8599648
208.2875178,396.9064806
287.1463774,469.1195581
267.178702,394.1932266
218.346417,422.3109787
359.6354628,383.6670293
323.4497834,334.6334088
321.7255582,304.796481
371.0649549,313.3321546
357.089639,294.945008
342.2024418,304.3986936
341.8002104,344.5529164
276.4676642,286.2040395
235.749205,262.2871313
219.2874625,317.6348292
159.0546964,293.894154
186.0467892,318.1787327
163.7591421,319.7353356
64.70345671,346.1199102
158.4405499,355.0352683
144.1013115,349.6335458
75.35079933,340.5735452
171.9668801,345.4953369
33.89233145,359.7456086
166.3313793,399.1313602
180.614315,442.1432331
153.3233821,505.7333089
80.61355892,439.8584809
281.1731509,403.1301955
300.2297364,435.0429898
312.9370495,358.5039105
305.3049458,335.7334816
340.4983597,333.1899431
323.5718438,323.3415645
293.1533649,320.6070597
348.0149989,371.8967795
311.4182939,320.4230688
258.240324,289.4595331
216.9025258,306.2821785
174.5266664,348.4177081
222.6971726,344.2516492
159.8070089,370.4148993
232.8713534,386.0239401
141.0066278,390.798136
245.7416605,376.832612
177.7316343,387.0606364
146.2051261,439.8682594
137.4507209,484.7215127
188.2509719,459.5858444
248.2205294,587.2541376
330.0519502,594.4678223
280.3805364,494.4029638
242.744506,460.3944415
216.3710452,432.7543452
299.2740825,382.4307599
261.9414914,362.556793
291.3412953,348.6764092
318.0284523,339.1433534
301.8459887,383.7470957
316.2962928,382.6515554
325.7265244,337.0272506
274.6611251,366.2798278
108.5610475,339.2970095
113.72083,342.1146356
278.3298062,354.6143259
192.2286646,286.2940695
164.2338807,321.8695959
206.2166394,364.8280249
162.503344,387.0965522
172.8920299,385.2665152
160.9585225,453.150689
168.3236643,465.1059965
186.1805849,417.065862
226.1716725,507.3953151
264.6479441,505.1218681
318.8735897,440.2932579
259.6917221,431.8880848
250.115833,423.5988134
306.2108398,381.0861447
306.2589682,345.8279502
316.3493667,309.8868977
322.6907747,290.7688122
361.491149,315.1008909
336.8117311,347.3459847
320.4408656,334.362617
256.4298395,326.6737809
196.7536885,339.2283686
205.3327458,346.2247927
183.714822,339.3234826
33.53807737,300.3901225
95.0785488,310.2941312
224.7136302,322.738559
180.4038576,318.5359832
214.5660932,359.1423858
141.1024563,383.6732381
190.498178,394.2788212
236.7419925,430.6704346
263.0387154,407.5658764
256.5501454,417.79203
250.0733871,304.22519
300.6750846,317.949066
298.090721,260.0497428
290.9919681,247.4728311
358.5063778,213.4328585
338.1918561,251.8956806
374.5300823,280.4534582
363.1913754,311.2651499
331.6731976,256.6549299
297.94667,229.3042305
303.292139,245.9167327
253.7316575,243.9994687
198.7906494,242.9567709
207.9439409,257.1899151
42.5953139,219.9999693
43.47191987,233.5732282
128.1550476,276.6029763
146.5293904,273.9890376
240.5042206,344.3592389
211.2093603,383.9448936
216.5035871,406.8263417
241.4447556,431.7807612
230.3332053,465.0142787
293.8081881,492.9175186
235.0228596,256.5168232
162.8479787,347.4725978
290.6730061,260.1142966
307.8197477,245.1726822
317.0398829,250.3593224
312.9522,243.9791091
306.3568264,247.5991682
335.3945765,236.6631203
291.9899677,264.5199233
286.8137989,273.8935682
221.4093087,263.9812985
200.9236589,270.7592966
164.2381821,265.5491389
136.2901814,492.0667729
146.2599224,287.4164732
137.7133379,292.684298
97.94574428,339.1267276
161.8957689,334.3016601
147.9222637,375.9775945
192.432952,412.9259408
135.5084561,441.5840759
143.564786,494.0559956
131.5598766,490.2131571
66.37354584,504.3937284
98.62879509,377.4935613
163.4629507,360.7524162
143.9204241,338.1045854
232.9225108,246.4583218
282.5463915,240.2278424
226.9187346,250.5881904
215.9052473,228.2003542
206.2257178,229.9371494
92.89370594,200.0469098
152.3755542,260.8153215
142.8286596,247.4691307
12.85267804,250.9967213
34.02909776,281.728075
104.4792714,300.6665812
0,244.4386957
17.36709862,253.9429583
49.6314871,248.6615959
0,249.1039937
0,272.9051713
94.00623895,262.5449096
0,278.2259235
39.86095079,305.8809426
93.22217549,321.6282159
23.15506838,417.3965868
73.73157099,368.552194
131.2563176,363.5289388
266.1720128,327.2177664
312.7990399,256.1278209
324.0566199,223.3064531
253.2315727,222.3476436
215.3039596,193.9390324
264.3174077,225.5564398
178.9497708,254.6774467
201.757449,217.2818133
204.394217,221.0401882
174.2326966,223.111888
115.2638744,251.9611237
83.21798901,249.2199857
103.7865706,253.9392241
143.6311389,279.5069631
77.38103113,277.493003
112.9716701,278.6478456
22.02706207,289.4873269
82.09770473,317.5846951
0,309.0238015
99.10941612,321.4909695
57.56811698,353.2431911
195.090471,441.9898871
246.779923,411.1128904
270.23349,408.4498588
290.8747983,348.0615401
185.8221579,242.1259521
219.3389987,225.4139523
186.2504601,252.071913
213.8798605,221.6705137
218.1510971,218.8147444
255.5949022,231.1017986
218.0984606,189.5752458
179.5206017,154.9877142
191.0081884,156.0109995
135.4261552,160.9439682
231.485094,183.1031884
161.4912548,214.0706619
178.9424065,217.3887736
156.7326405,225.013993
132.1879175,245.0594349
88.77238035,302.6994026
150.2962384,357.7418056
101.6203082,385.0347223
74.53173442,409.7074656
209.8548429,437.9973589
265.9905463,421.3316707
278.7881412,354.7185917
191.0293304,355.0709449
217.8136072,331.1233127
185.5039185,306.4738222
215.1987648,285.0460716
223.661781,299.2252132
266.2839287,289.0288469
236.6586421,310.5698722
259.778769,350.0502363
259.495861,336.18164
176.9187598,327.6989951
164.7298279,321.9486811
114.9977234,331.3287313
125.8960977,319.4371081
182.1647777,251.7352525
199.3041724,254.8346689
157.6566683,295.9426226
134.892517,282.3409661
135.6215659,318.2729278
118.1313796,352.9282555
122.4532744,389.0636945
179.5342548,433.5259936
251.3512955,432.3526985
266.5351147,440.0625527
254.8909826,357.6541756
257.4475358,350.9798404
269.5167932,308.9522656
286.6838867,243.1320609
341.1955665,245.1657661
316.1405628,259.9314224
305.9956274,249.6631933
336.5845974,247.2918667
313.6739777,296.3631648
269.3888157,327.8012409
236.7520915,348.0991668
223.5954871,346.7833912
197.657052,364.9743635
181.0192754,374.7176804
236.9495875,309.987887
220.425049,329.8786716
203.2495394,351.0261181
196.2166209,375.1384592
182.5984657,376.8074937
161.7868868,445.2077365
184.0016745,472.5949357
185.4134354,493.4100647
238.621172,511.5135702
251.2988739,528.1752683
216.8145517,420.4276569
205.1709452,370.3260722
245.7111178,351.5021552
253.4992424,280.3610502
279.1031144,251.3134383
262.4093433,243.8133545
355.6126338,243.0624224
307.3069883,238.344668
242.1640856,284.4546436
303.2326481,297.2178997
302.0459016,299.2349575
232.3954012,293.9623812
225.0399877,291.8734386
209.0255976,307.0379088
162.5284468,245.8025468
140.5109146,276.3870385
168.8060993,272.5233056
89.60615513,292.2370533
156.7600763,342.2425372
148.3412445,383.4660494
33.99486714,418.3550575
193.0724548,458.9183152
171.2464689,467.1908676
194.0452009,469.4471483
276.8692887,404.8656124
259.5320088,332.1342046
279.7570296,284.3039752
277.7002372,264.3786613
282.559388,234.89627
299.9758059,240.4525366
290.0773717,222.3364724
245.6809257,236.9967566
273.6669831,254.9995388
267.829101,284.5396534
201.4211406,270.7357337
237.7001774,248.8730858
240.9860742,261.5888757
178.4882823,251.7422674
107.4386469,187.7220755
169.7808506,231.3243601
162.0719534,243.1085612
22.92952464,229.0394003
159.997915,284.76948
33.26325561,322.326093
118.8903106,332.9977948
54.36487782,355.3408629
182.0712494,352.4783625
259.8396226,337.6116464
255.0958071,270.4293893
225.946564,224.3608747
233.8447286,196.6113615
263.599653,184.7311146
314.0302828,182.4593369
343.0515674,278.9074775
331.6879824,252.5907873
330.1732767,229.1299024
326.565906,240.1558376
324.866322,215.0530377
262.612621,235.3625622
211.9352388,200.5374393
154.8544764,211.5140173
198.4784049,223.3919728
252.8264876,171.798162
176.2010466,187.3668766
169.500321,187.8426846
216.6367134,223.0337962
207.659884,223.2353703
198.5795183,232.7797902
164.4105603,232.3727497
204.0219091,253.5623583
193.3779981,297.4093917
278.5856829,441.3036719
225.9460087,365.0309405
256.8935034,325.8549858
287.4590735,381.2765743
257.5152624,339.6811859
380.9206146,336.5994155
345.1907317,317.0796541
317.3009585,283.2970315
331.9541452,189.8019836
329.7002473,367.8626798
311.1362033,409.5967669
273.4214122,276.8792653
211.9662186,271.7975781
189.1845111,270.6708651
239.9080522,287.3722338
227.3960984,283.0646263
206.3484401,293.0993958
229.9621429,309.8492638
180.0943083,314.1454648
145.5162942,318.4259826
177.1344521,331.3944843
196.1388902,355.2662727
168.493698,353.2756448
233.2966901,400.5886918
270.5065848,485.9312402
158.6332804,463.0787621
246.4120166,486.3702776
324.2256239,460.8218456
316.9789076,420.6050451
293.6172352,414.7503004
347.1232785,438.5033893
344.1368221,437.088793
302.5172068,423.1640123
362.0762592,446.3257437
326.5733183,362.1677199
268.6377608,334.5718978
243.9977957,330.720635
240.515059,336.328322
199.9998024,340.4429943
158.8185828,359.999613
194.4811025,363.3831323
161.2525584,351.3464313
189.4488581,361.1283048
186.5279018,412.6197701
223.8640348,469.1609568
181.5210616,507.3763156
185.6836571,537.2775761
262.3181335,553.896655
262.6618621,576.5364319
220.0795461,486.1045245
287.5694532,425.7855114
302.9297824,409.2655994
308.7128902,376.9447218
320.5593072,341.5711229
355.2037766,326.0146303
354.011438,321.3252031
362.2372928,348.2270281
355.3655676,369.1723805
322.9313042,361.8165775
259.6870452,362.8555328
177.1683604,355.3989002
280.4746204,385.1082538
236.2906598,371.1790822
121.6694581,284.9112699
172.9312031,307.5415974
203.9156473,314.5788326
172.7582821,309.3011306
174.538551,362.6717754
245.2797695,417.5435415
222.4591022,460.6839911
233.5639748,485.3154583
301.3464932,496.9660594
327.2059346,506.7762936
297.149413,422.3880805
307.5921848,406.3969636
316.2062919,361.3177731
326.3566478,363.4776926
349.4618905,378.8701372
363.4153964,395.4906866
366.9525839,396.5426546
368.8145036,410.1801235
364.3078251,421.993988
337.5307704,400.7925513
242.1357856,390.9886728
265.8261311,388.7676647
196.491724,381.3712243
85.37436528,390.3532143
72.08950379,327.5091205
194.1873207,328.0136493
165.1856516,371.7181552
155.4303084,371.2855717
196.0734281,401.2801668
167.3910349,459.6577028
210.5481027,486.1360364
274.8083478,506.0441638
276.1757558,513.6673893
248.6355637,465.5502305
245.3003626,432.6103701
313.4668374,412.2884741
346.9198335,413.3852801
355.7870062,388.1501336
369.1138048,380.3589528
376.5529323,374.8004333
373.9630217,334.072346
394.0408824,346.7760483
374.1348523,361.3073495
358.9519556,310.0961272
344.3752733,317.0973901
293.8692757,307.1213961
246.1255406,312.5111822
228.3869763,309.6034926
156.0759337,257.8305186
163.1891821,275.0064876
124.8736548,271.8611929
154.834249,281.7668834
175.1443085,304.0316206
231.9905248,361.4876428
262.8433201,362.7508509
243.3565713,377.7713087
285.0018805,406.4635042
209.8734089,344.0175044
319.5635086,278.6803472
304.9565625,268.9312055
334.919531,255.47059
389.086588,260.4161115
406.7960803,269.0322557
430.2360607,247.2150943
432.906487,211.7259638
441.0189481,205.6331914
411.591181,200.0950542
390.0011136,218.4666448
388.0908188,209.7497189
298.8262761,212.4749889
251.6003908,223.5300571
250.5035,254.7659884
203.4929858,182.968262
166.3510048,185.0359247
138.3181178,193.5609195
150.6202995,168.8172429
128.56928,236.8270143
164.2613674,272.0912212
174.417221,292.4951845
229.0208746,303.9474937
224.9848641,336.5743371
214.7720193,346.5120069
357.7205397,282.962494
355.3988764,239.1671617
348.5561773,193.5595271
361.3473214,210.3563374
370.5535833,192.2438261
379.0166904,116.0477523
389.5007095,175.3668766
394.5131462,245.5836911
381.096357,278.4379415
380.7928325,250.8484469
306.1148817,217.3445452
244.6887057,220.6557229
262.0417584,258.770251
198.7746487,240.8220692
141.0234201,200.7359015
232.6037718,225.9634971
185.2875759,255.3501201
186.4383674,226.1983123
183.7859726,347.9577757
153.9230297,238.135319
163.5716182,226.7882022
182.5005803,270.3175467
199.2120752,327.1206233
258.9816441,436.6926123
280.1843256,436.8476739
217.1952417,403.5165752
262.5760577,322.0647216
270.6505352,359.7974883
311.1456554,327.7550562
300.8293517,308.0077192
309.2866414,286.7535414
325.5603556,257.008325
305.8981111,270.5707417
260.7142493,270.0357098
255.6808562,209.5671183
217.426516,286.771806
213.9653444,296.6615939
171.4566689,303.4876277
114.3527728,282.9144633
101.9917717,206.4734484
250.4335519,359.3994987
271.1275089,337.6333361
223.2731169,328.2097197
197.6075368,387.1100716
197.1510433,382.9892003
202.6093478,411.246894
205.0619497,514.532994
309.6936694,548.5813142
282.7664378,497.1405421
206.4039386,469.2201162
287.4533623,421.6160369
290.2969869,346.063927
304.096785,297.8669204
300.4032231,241.9778789
421.2362657,231.7430944
377.1881808,224.9640429
349.8241787,268.5663031
324.9827969,207.9491192
277.40645,204.966723
222.1958105,255.8325635
208.3329734,251.0024487
214.9407433,271.2443153
173.4626077,245.8198341
170.3623653,295.70828
150.9568581,292.7239249
107.5303292,283.3705169
137.3738547,331.5885885
204.1794867,344.3165436
197.3638339,375.7284182
234.3034773,439.4456291
283.024622,457.3287378
271.8915682,435.0793413
203.4855391,348.7811434
296.2394275,314.6550204
398.76918,276.5184315
397.6550358,237.439128
413.1200127,232.9119446
413.8835799,222.8375084
421.403319,205.101666
417.9011974,206.2540514
399.7793207,248.6004654
398.1559729,244.4097815
363.8305987,227.9775616
325.39178,216.1427236
291.8233134,225.7819402
257.4086636,234.5970217
198.6891132,155.0948936
193.5417344,179.6577684
206.1105971,199.1964636
193.0187919,195.0638945
180.2120102,242.7553349
190.287851,274.3815705
183.8225395,321.170478
210.9369325,356.0013335
204.6029709,348.7732746
271.4918529,288.7005561
271.5249815,241.2690193
297.7092067,125.1338365
359.3429123,129.6026265
384.4582551,184.9060248
405.2855001,193.6489471
419.6188389,208.5657603
423.1337921,241.9106585
442.0315823,256.1507507
385.7489733,183.3894906
350.0859088,184.2898587
310.6694248,158.2293246
288.1959157,221.3840594
255.1797231,234.0421686
229.827551,212.8477563
179.7422311,173.5146914
174.613536,185.6615925
154.7262923,205.1693927
201.4052192,128.586556
249.0924153,302.5285555
187.880753,246.2111435
209.6767304,340.4859829
